IO_ADDR,MEMORY_ADDR,NAME
0x3F,0x5F,SREG
0x3E,0x5E,SPH
0x3D,0x5D,SPL
0x3C,0x5C,OCR0
0x3B,0x5B,GICR
0x3A,0x5A,GIFR
0x39,0x59,TIMSK
0x38,0x58,TIFR
0x37,0x57,SPMCR
0x36,0x56,TWCR
0x35,0x55,MCUCR
0x34,0x54,MCUCSR
0x33,0x53,TCCR0
0x32,0x52,TCNT0
0x31,0x51,OSCCAL
0x31,0x51,OCDR
0x30,0x50,SFIOR
0x2F,0x4F,TCCR1A
0x2E,0x4E,TCCR1B
0x2D,0x4D,TCNT1H
0x2C,0x4C,TCNT1L
0x2B,0x4B,OCR1AH
0x2A,0x4A,OCR1AL
0x29,0x49,OCR1BH
0x28,0x48,OCR1BL
0x27,0x47,ICR1H
0x26,0x46,ICR1L
0x25,0x45,TCCR2
0x24,0x44,TCNT2
0x23,0x43,OCR2
0x22,0x42,ASSR
0x21,0x41,WDTCR
0x20,0x40,UBRRH
0x20,0x40,URSEL
0x1F,0x3F,EEARH
0x1E,0x3E,EEARL
0x1D,0x3D,EEDR
0x1C,0x3C,EECR
0x1B,0x3B,PORTA
0x1A,0x3A,DDRA
0x19,0x39,PINA
0x18,0x38,PORTB
0x17,0x37,DDRB
0x16,0x36,PINB
0x15,0x35,PORTC
0x14,0x34,DDRC
0x13,0x33,PINC
0x12,0x32,PORTD
0x11,0x31,DDRD
0x10,0x30,PIND
0x0F,0x2F,SPDR
0x0E,0x2E,SPSR
0x0D,0x2D,SPCR
0x0C,0x2C,UDR
0x0B,0x2B,UCSRA
0x0A,0x2A,UCSRB
0x09,0x29,UBRRL
0x08,0x28,ACSR
0x07,0x27,ADMUX
0x06,0x26,ADCSRA
0x05,0x25,ADCH
0x04,0x24,ADCL
0x03,0x23,TWDR
0x02,0x22,TWAR
0x01,0x21,TWSR
0x00,0x20,TWBR
